PROJECT_TYPE,APN,NAMEADDR,Alias,BESTSTAT,BESTDATE,Entitlement,PLN_CASENO,BP_APPLNO,PROPUSE,PLN_DESC,BP_DESC,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FILEDATE,PLANNER,APPLICANT,CONTACT,CONTACTPH,SOURCE,Supe_District,PLAN_AREA,PLAN_DISTRICT,NEIGHBORHOOD,ZONING_SIM,ZONING_DISTRICT,HEIGHT_DISTRICT,Location
Resident,APN 1467020,483 35TH AV,,BP FILED,2009-11-30T00:00:00,0,,200911302251,APARTMENTS,,LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7799975445', 'longitude': '-122.495742601', 'needs_recoding': False}"
Resident,APN 0829040,526 HICKORY ST,,CONSTRUCTION,2015-01-21T00:00:00,-1,,201209200264,1 FAMILY DWELLING,,"TO ERECT 4 STORIES WITH BASEMENT, SINGLE FAMILY DWELLING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D5,,Western Addition,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7748448146', 'longitude': '-122.428662585', 'needs_recoding': False}"
Resident,APN 4143008,948 HAMPSHIRE ST,,BP ISSUED,2009-03-12T00:00:00,-1,,200503298688,2 FAMILY DWELLING,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7568882292', 'longitude': '-122.407954839', 'needs_recoding': False}"
Resident,APN 4103036,605 MISSISSIPPI ST,,PL APPROVED,2009-01-23T00:00:00,-1,2008.1307,,,Addition/alteration of existing single-family residence to 2-unit residence.,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-11-25T00:00:00,BBOLLING,Jorge Carbonell,,,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7588111296', 'longitude': '-122.39391061', 'needs_recoding': False}"
Resident,APN 1216005,1052 OAK ST,,BP FILED,2013-02-28T00:00:00,0,,201302281214,APARTMENTS,,REMODEL (E) BLDG AT THE REAR OF 1052 OAK ST. DIVIDE (E) (5) BEDROOM INTO (3) SEPARATE UNITS & ADD 2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D5,,Western Addition,Western Addition,NCD,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,"{'latitude': '37.7734341741', 'longitude': '-122.43672551', 'needs_recoding': False}"
Resident,APN 1154023,7 SEYMOUR ST,,CONSTRUCTION,2010-10-12T00:00:00,-1,2009.0104,200712200979,1 FAMILY DWELLING,"To legalize an existing cottage in the rear yard as a second dwelling unit, requiring rear yard and non-complying structure variances.","To comply with nov 200733175, shoring, excavation , concrete foundation + slab structural steel, tie",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-02-06T00:00:00,SPERDUE,maryline Linares,maryline Linares,94115,CASE TRACKING,D5,,Western Addition,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7793331884', 'longitude': '-122.438057653', 'needs_recoding': False}"
Resident,APN 3589026,161 SAN CARLOS ST,,BP ISSUED,2009-11-23T00:00:00,-1,,200902041380,APARTMENTS,,"CONVERT 2 UNITS BLDG TO 3 UNITS BLDG, REMOVE STAIRCASE JOINING UPSTAIRS AND DOWNSTAIRS, PUT IN KITCH",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,45-X,"{'latitude': '37.7608311319', 'longitude': '-122.41982828', 'needs_recoding': False}"
Resident,APN 1542005,431 02ND AV,,BP FILED,2013-05-20T00:00:00,-1,2014.0795,201305207321,APARTMENTS,Variance request to the exposure requirements of P.C. Sec. 140 to permit the addition of a third dwelling unit at the ground floor level.,"CONVERT EXTG STORAGE TO UNIT WITH KITCHEN. REMOVEL EXTG 1/2 BATH, ADD WINDOWS, ADD FOUNDATIONS AND W",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-27T00:00:00,,,,,PERMIT TRACKING,D1,,Richmond,Inner Richmond,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7805135385', 'longitude': '-122.460276626', 'needs_recoding': False}"
Resident,APN 2046040A,227 NORIEGA ST,,BP FILED,2009-02-12T00:00:00,0,2010.09,200902122009,2 FAMILY DWELLING,,REMODELING (E) FIRST AND SECOND FLOOR AND EXTENDING THESE 2 FLOORS OUT TOWARDS REAR YARD. 1ST FL. TO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7544455344', 'longitude': '-122.46617716', 'needs_recoding': False}"
Resident,APN 1533017,473 11TH AV,,BP FILED,2009-05-28T00:00:00,0,,200905289263,2 FAMILY DWELLING,,"THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D1,,Richmond,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.779254623', 'longitude': '-122.469851387', 'needs_recoding': False}"
Resident,APN 6942004,1173 PLYMOUTH AV,,BP FILED,2008-06-11T00:00:00,0,,200806114219,2 FAMILY DWELLING,,CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,,Ingleside,Ocean View,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7233349901', 'longitude': '-122.456462702', 'needs_recoding': False}"
Resident,APN 3603024,799 Castro Street,,BP FILED,2014-09-19T00:00:00,0,,201409196883,,,ALTERATION OF EXISTING COMMERCIAL BUILDING - CONVERSION OF OCCUPANCY TO R-3. TO REPLACE 2012-08-30-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TWANG,Bill Pashelinsky,Bill Pashelinsky,379-3676,CASE TRACKING,D8,,Central,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7562361777', 'longitude': '-122.434237827', 'needs_recoding': False}"
Resident,APN 1729012,1259 21ST AV,,CONSTRUCTION,2015-05-12T00:00:00,-1,,201304295719,2 FAMILY DWELLING,,SITE PERMIT/REAR HORIZONTAL ADDITION.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D4,,Outer Sunset,Outer Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7642170351', 'longitude': '-122.479647987', 'needs_recoding': False}"
Resident,APN 3598068,3643 19TH ST,,BP FILED,2013-06-18T00:00:00,0,2014.0727,201306189882,APARTMENTS,Variance request tot he rear yard requirement of P.C. Sec. 134 to permit an alteration in the rear yard to preserve the historic features of the facade while creating additional dwelling units.,PROPOSED HORIZONTAL & VERTICAL ADDITION TO (E) 2-STORY BUILDING TO ACCOMODATE ONE (N) UNIT.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-09T00:00:00,,,,,PERMIT TRACKING,D8,,Mission,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7596601472', 'longitude': '-122.424663616', 'needs_recoding': False}"
Resident,APN 3732087,457 TEHAMA ST,,BP REINSTATED,2013-08-05T00:00:00,-1,2006.0123,201108112225,1 FAMILY DWELLING,Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.,VERTICAL ADDITION IN BUILDING. CONVERT PROPERTY TO RESIDENTIAL. REMODEL EXISTING 2 STORIES. ADD 1 NE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-04-06T00:00:00,,,,,PERMIT TRACKING,D6,Central SoMa; East SoMa (EN); South of Market,South of Market,South of Market,MUR,MIXED USE-RESIDENTIAL,45-X,"{'latitude': '37.7799443066', 'longitude': '-122.405538538', 'needs_recoding': False}"
Resident,APN 1411022,212 23RD AV,,CONSTRUCTION,2011-12-21T00:00:00,-1,2009.0051,200903174286,2 FAMILY DWELLING,Alteration and remodel of existing residnetial structure.,ADD 3 FT REAR ADDTIONAL SPACE FOR MASTER BEDROOM ON 3RD FLOOR. ADD 29 SQ. FT. TO KITCHEN SPACE ON 2N,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-01-21T00:00:00,BBOLLING,Martin Bernstein,,,CASE TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7836464498', 'longitude': '-122.482559933', 'needs_recoding': False}"
Resident,APN 3588056,659 GUERRERO ST,,BP FILED,2013-03-26T00:00:00,0,2013.1705,201303263083,APARTMENTS,,"1/FL:ADD 1 BR,1 BA,1 FAM RM&STAIRS TO 2/FL.
2/FL:ADJUST BEDRM SIZE&ADD INTERIOR STAIRS TO 1/FL.
3/FL",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D8,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,45-X,"{'latitude': '37.7606495186', 'longitude': '-122.42340398', 'needs_recoding': False}"
Resident,APN 5312013,1748 OAKDALE AV,,BP FILED,2013-06-25T00:00:00,0,,201306250390,2 FAMILY DWELLING,,"LEGALIZE PRE-EXISTING AS BUILT STRUCTURE - 2 STORY OVER BASEMENT WITH GARAGE.(5 BDROOMS, 2 LIVING RM",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7363734006', 'longitude': '-122.392929999', 'needs_recoding': False}"
Resident,APN 0151029,81 GLOVER ST,,BP FILED,2013-04-22T00:00:00,0,,201304225124,2 FAMILY DWELLING,,"PROVIDE 2 APRTMENTS. 1ST FLR, NEW KITCHEN, RELOCATE(E) BATHROOM & CLOSET, ELIMINATE (E) STAIRWAY TO",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D3,,Northeast,Russian Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7969971602', 'longitude': '-122.416514157', 'needs_recoding': False}"
Resident,APN 0073020,835 LOMBARD ST,,BP FILED,2009-02-18T00:00:00,0,,200902182284,APARTMENTS,,Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D3,,Northeast,Russian Hill,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,"{'latitude': '37.8022612799', 'longitude': '-122.415252469', 'needs_recoding': False}"
Resident,APN 2039044,427 MORAGA ST,,BP FILED,2008-07-03T00:00:00,0,,200807035945,2 FAMILY DWELLING,,"NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7562669315', 'longitude': '-122.467379287', 'needs_recoding': False}"
Resident,APN 0529002,2727 GOUGH ST,,BP FILED,2009-08-14T00:00:00,0,,200908144854,2 FAMILY DWELLING,,Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D2,,Marina,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7985223488', 'longitude': '-122.427678221', 'needs_recoding': False}"
Resident,APN 6771032,279 MONTEREY BL,,CONSTRUCTION,2015-01-16T00:00:00,-1,2008.0374,200906261414,2 FAMILY DWELLING,Demoiltion of existing single-family residence.,"TO ERECT 4 STORY, 2 DWELLING UNITS",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-03-25T00:00:00,,,,,PERMIT TRACKING,D7,,Ingleside,Outer Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7312815606', 'longitude': '-122.441527524', 'needs_recoding': False}"
Resident,APN 5338032,1781 QUESADA AV,,BP FILED,2013-05-20T00:00:00,0,,201305207414,2 FAMILY DWELLING,,"CONVERTING BASEMENT INTO A SECOND UNIT 1,035 SQFT. (NET ADDITION 713 SQFT). REDUCING (E) GARAGE. REM",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7339815708', 'longitude': '-122.393114829', 'needs_recoding': False}"
Resident,APN 3590056,355 CAPP ST,,BP FILED,2009-04-06T00:00:00,-1,2010.0078,200904065668,APARTMENTS,"New dwelling located within the existing building evelope.  Ground Floor.
New dwelling requires an exposure variance.   Possible usable open space variance request.  Two buildings are located on the subject lot.",LEGALIZE EXISTING SPACE ON GRD FL TO ADD ADDITIONAL DWELING UNIT TO BLDG. THE BLDG WILL NOW BECOME A,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-04T00:00:00,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,40-X,"{'latitude': '37.7610238136', 'longitude': '-122.417870707', 'needs_recoding': False}"
Resident,APN 3563015B,3938 17TH ST,,BP FILED,2015-04-06T00:00:00,0,2015-005114PRJ,201504062845,2 FAMILY DWELLING,"ADD 2ND UNIT AT GR FL. EXCAVATE 2"" TO 5'6 FOR HEADROOM. REPLACE 126 LIN FT OF FOUNDATIONS. ADD PLYWOOD AND HOLDOWN WALLS AT NEW UNIT. ADD KITCHEN, BATH, LIVING AND SLEEPING ALCOVE INUNIT. ADD STORAGE, DOG WASH AND LAUNDRY FOR UPSTAIRS UNIT. ADD SUNKEN PA","ADD 2ND UNIT AT G/F. EXCAVATE 2"" TO 5'6 FOR HEADROOM. REPLACE 126 LIN FT OF FOUNDATIONS. ADD PLYWOOD AND HOLDOWN WALLS AT NEW UNIT. ADD KITCHEN, BATH, LIVING & SLEEPING ALCOVE IN UNIT.ADD STORAGE,DOG WASH/LAUNDRY FOR UPSTAIRS UNIT.ADD SUNKEN PATIO AT REA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-23T00:00:00,JHORN,,,4156211280,CASE TRACKING,D8,,Central,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7628339064', 'longitude': '-122.433835457', 'needs_recoding': False}"
Resident,APN 7551106,2395 DIAMOND ST,,BP FILED,2007-06-15T00:00:00,0,2007.1162,200706154066,1 FAMILY DWELLING,"SUBDIVISION OF ONE LOT INTO TOW LOTS, VERTICAL ADDITION ON EXISTING 1,025 SF SINGLE-FAMILY RESIDENCE TO TOTAL 2,020 SF, AND NEW CONSTRUCTION OF SINGLE-FAMILY RESIDENCE ON NEW SUBDIVIDED LOT.",ADDITION TO (E) BUILDING PER PLAN.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-10-10T00:00:00,,,,,PERMIT TRACKING,D8,,Central,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,"{'latitude': '37.7385188249', 'longitude': '-122.436253516', 'needs_recoding': False}"
Resident,APN 7016023,652 LAKEVIEW AV,,CONSTRUCTION,2013-06-24T00:00:00,-1,2004.1041,200311240936,1 FAMILY DWELLING,,ERECT A THREE STORY SINGLE FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-09-07T00:00:00,,,,,BLDG PERMIT,D11,,Ingleside,Ocean View,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,"{'latitude': '37.7184362783', 'longitude': '-122.457740671', 'needs_recoding': False}"
Resident,APN 7044A006,5498 MISSION ST,,PL FILED,2009-11-18T00:00:00,0,2009.0812,200804159728,APARTMENTS,Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.,to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-08-28T00:00:00,,,,,PERMIT TRACKING,D11,,South Central,Outer Mission,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,"{'latitude': '37.7129143232', 'longitude': '-122.444826411', 'needs_recoding': False}"
Resident,APN 1265047,338 CARL ST,,CONSTRUCTION,2011-06-30T00:00:00,-1,2008.1377,200901150303,APARTMENTS,Parking Variance to add a 3rd unit,legalize existing residential unit @ ground floor. See variance Application #2008.1377 under review.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-12-16T00:00:00,,,,,PERMIT TRACKING,D5,,Inner Sunset,Inner Sunset,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7654152098', 'longitude': '-122.455223641', 'needs_recoding': False}"
Mixres,APN 0025017,721 BEACH ST,,CONSTRUCTION,2015-05-28T00:00:00,-1,2006.0441,201011295645,,"Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 1","TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.",1,1,0,0,5589,5589,0,0,0,0,0,0,0,0,5589,5589,0,0,2006-11-07T00:00:00,SMENDRIN,Marie Zeller,Marie Zeller,415.284.1100,CASE TRACKING,D2,Fisherman's Wharf; Northeast Waterfront,Northeast,Russian Hill,C-2,COMMUNITY BUSINESS,40-X,"{'latitude': '37.8063175992', 'longitude': '-122.420950209', 'needs_recoding': False}"
Resident,APN 1841007,1443 12TH AV,,BP FILED,2013-01-28T00:00:00,0,,201301288928,2 FAMILY DWELLING,,TO COMPLY WITH NOV 201281241 OF VIOLATION. COMPLIANCE/FIRE/EGRESS. ESTABLISHING 1ST FLOOR UNIT. LEGA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7611900883', 'longitude': '-122.469664715', 'needs_recoding': False}"
Resident,APN 3610032,500 CAPP ST,,CONSTRUCTION,2015-07-30T00:00:00,-1,2009.0757,201007015845,,Preservation and resotration of the exterior of the existing home. Excavate basement into full basement use and construct second unit at the rear of the lot.,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-03-11T00:00:00,TTAM,Dean Orr,Dean Orr,,CASE TRACKING,D9,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,55-X,"{'latitude': '37.7585623509', 'longitude': '-122.418185864', 'needs_recoding': False}"
Resident,APN 3582054,4072 18TH ST,,BP FILED,2013-02-13T00:00:00,0,,201302130179,2 FAMILY DWELLING,,HORIZONTAL ADDITION TO BACK OF EXISTING BLDG. ADDITION OF 1 DWELLING UNIT. FOR A TOTAL OF 2 RESIDENT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D8,,Central,Castro/Upper Market,NCD,CASTRO STREET NEIGHBORHOOD COMMERCIAL,40-X,"{'latitude': '37.7611560998', 'longitude': '-122.434316801', 'needs_recoding': False}"
Resident,APN 1690032,836 48TH AV,,BP REINSTATED,2011-11-08T00:00:00,-1,,200709072126,2 FAMILY DWELLING,,"Vertical addition: Add 2 additional stories, to include a penthouse level at (E) 2 story bldg. Submi",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D1,Western Shoreline,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7726035165', 'longitude': '-122.508578299', 'needs_recoding': False}"
Resident,APN 5980003,208 GIRARD ST,,BP FILED,2013-04-09T00:00:00,0,,201304094098,2 FAMILY DWELLING,,2 STORY HORIZONTAL ADDITION. 682 SQ. FT. @ 2ND FLOOR & 672 AT 1ST FLOOR. RAISE (E) HOUSE 2' & ADD NE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D9,,South Central,Excelsior,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7293963258', 'longitude': '-122.405755957', 'needs_recoding': False}"
Resident,APN 2654031,31 URANUS TR,,BP ISSUED,2014-01-06T00:00:00,-1,,201208298556,2 FAMILY DWELLING,,"REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D8,,Central,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.761414699', 'longitude': '-122.445239004', 'needs_recoding': False}"
Resident,APN 6655030,176 RANDALL ST,,BP APPROVED,2014-02-11T00:00:00,-1,2008.0069,200712261296,,"Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.","ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-12-08T00:00:00,JPOLING,Michael Allorecht,,,CASE TRACKING,D8,,Central,Glen Park,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7399317856', 'longitude': '-122.427287506', 'needs_recoding': False}"
Resident,APN 3609109,333 SAN CARLOS ST,,BP FILED,2013-01-22T00:00:00,0,,201301228393,APARTMENTS,,ADD ONE STUDIO UNIT IN BASEMENT LEVEL.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,40-X,"{'latitude': '37.7580106722', 'longitude': '-122.419583019', 'needs_recoding': False}"
Resident,APN 4004034,1451 MARIPOSA ST,,BP ISSUED,2014-06-11T00:00:00,-1,,201302250862,APARTMENTS,,"LEGALIZE (E) DWELLING UNIT, PROVIDE (N) SMOKE DETECTORS. REPLACE (E) OUTLETS IN KITCHEN, REPLACE (E)",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7635671478', 'longitude': '-122.398124959', 'needs_recoding': False}"
Resident,APN 6942054,1325 OCEAN AV,,BP ISSUED,2015-07-28T00:00:00,-1,,201301087514,2 FAMILY DWELLING,,EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OV,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,Balboa Park,Ingleside,Ocean View,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,"{'latitude': '37.7236960252', 'longitude': '-122.456658183', 'needs_recoding': False}"
Resident,APN 3625040,421 ALVARADO ST,,BP FILED,2009-02-06T00:00:00,0,,200902061524,2 FAMILY DWELLING,,Add a residential unit at the rear of an existing single family residence.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D8,,Central,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7536809861', 'longitude': '-122.430394746', 'needs_recoding': False}"
Resident,APN 1055021,2909 BUSH ST,,PL APPROVED,2014-01-20T00:00:00,-1,2013.0129,,,Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-05T00:00:00,KBURNS,Jeremy Paul,Jeremy Paul,415-552-1888,CASE TRACKING,D2,,Richmond,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.7850790252', 'longitude': '-122.445522668', 'needs_recoding': False}"
Resident,APN 1043009,53 MANZANITA AV,,BP ISSUED,2014-08-21T00:00:00,-1,2013.1598,201305096539,2 FAMILY DWELLING,,THIS WORK WILL RESULT IN CREATION OF A NEW UNIT. CONSTRUCT NEW KITCHEN. CONSTRUCT 2 WOOD STUD-FRAMED,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D2,,Richmond,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7850034936', 'longitude': '-122.451355046', 'needs_recoding': False}"
Resident,APN 2829010,4376 24TH ST,,BP ISSUED,2015-02-04T00:00:00,-1,2013.031,201301168071,1 FAMILY DWELLING,Demo existing building and replace with new construction,ERECT TO 3 STORIES OF ONE SINGLE FAMILY.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-03T00:00:00,,,,,PERMIT TRACKING,D8,,Central,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,"{'latitude': '37.7511704114', 'longitude': '-122.440146125', 'needs_recoding': False}"
Resident,APN 2993090,287 CRESTA VISTA DR,,CONSTRUCTION,2015-04-21T00:00:00,-1,,201302069581,1 FAMILY DWELLING,,"ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BLDG.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D7,,Ingleside,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,"{'latitude': '37.7356934916', 'longitude': '-122.45353081', 'needs_recoding': False}"
